,store_id,name,address,open_time,close_time
0,1,Elm City Market,"777 Chapel St, New Haven, CT 06510",8:00 AM,8:00 PM
1,2,ShopRite,"745 Foxon Rd, East Haven, CT 06513",7:00 AM,10:00 PM
